In bed at,Until,Duration,Asleep,Time awake in bed,Fell asleep in,Quality sleep,Deep sleep,Heartrate,Tags,Notes
2020-06-14 21:30:00,2020-06-15 05:43:00,8:13,7:32,41,--,5:01,1:45,60,--,--
2020-06-15 20:53:00,2020-06-16 00:15:00,3:22,3:19,3,--,2:18,45,60,--,--
2020-06-16 20:15:00,2020-06-17 04:35:00,8:20,8:20,0,--,5:54,1:30,58,--,--
2020-06-17 22:45:00,2020-06-18 05:22:00,6:37,6:35,2,--,4:29,--,62,--,--
2020-06-18 23:51:00,2020-06-19 06:45:00,6:54,5:39,1:15,--,3:35,--,70,--,--
2020-06-19 19:30:00,2020-06-20 05:01:00,9:31,8:05,1:26,--,5:01,1:46,63,--,--
2020-06-20 21:00:00,2020-06-21 07:30:00,11:19,8:42,2:37,--,5:47,1:01,65,--,--
2020-06-21 21:47:00,2020-06-22 04:15:00,6:28,6:28,0,--,4:21,1:29,62,--,--
2020-06-23 21:31:00,2020-06-24 07:09:00,9:38,9:26,12,--,6:57,1:50,58,--,--
2020-06-24 22:28:00,2020-06-25 05:12:00,6:44,6:44,0,--,5:13,1:02,64,--,--
2020-06-26 00:15:00,2020-06-26 04:45:00,4:30,4:19,11,--,3:04,--,72,--,--
2020-06-26 19:31:00,2020-06-27 05:45:00,10:14,8:49,1:25,--,5:59,1:45,63,--,--
2020-06-27 20:57:00,2020-06-28 03:15:00,7:47,7:36,11,--,4:46,58,59,--,--
2020-06-29 21:00:00,2020-06-30 05:59:00,8:59,8:57,2,--,7:07,3:04,64,--,--
2020-06-30 21:30:00,2020-07-01 05:28:00,7:58,7:58,0,--,5:48,2:18,65,--,--
2020-07-01 19:31:00,2020-07-02 06:06:00,10:35,10:25,10,--,7:40,3:02,67,--,--
2020-07-04 00:01:00,2020-07-04 05:00:00,4:59,4:59,0,--,3:19,1:14,66,--,--
2020-07-05 20:16:00,2020-07-06 05:01:00,11:53,11:39,14,--,7:45,1:44,61,--,--
2020-07-07 20:45:00,2020-07-08 01:30:00,4:45,4:16,29,--,3:13,1:30,67,--,--
2020-07-10 00:22:00,2020-07-10 05:00:00,4:38,4:23,15,--,3:39,2:03,75,--,--
2020-07-10 21:32:00,2020-07-11 05:00:00,7:28,6:42,46,--,4:29,1:29,64,--,--
2020-07-11 21:45:00,2020-07-12 05:04:00,7:19,6:55,24,--,5:16,2:02,63,--,--
2020-07-12 23:00:00,2020-07-13 05:01:00,6:01,5:21,40,--,3:39,--,62,--,--
2020-07-13 20:00:00,2020-07-14 05:57:00,9:57,9:10,47,--,6:11,1:16,62,--,--
2020-07-14 21:33:00,2020-07-15 05:26:00,7:53,7:43,10,--,5:36,2:03,67,--,--
2020-07-15 22:00:00,2020-07-16 05:46:00,8:15,8:00,15,--,5:44,2:00,64,--,--
2020-07-16 22:30:00,2020-07-17 03:15:00,4:45,4:45,0,--,3:45,1:30,61,--,--
2020-07-18 22:57:00,2020-07-19 02:00:00,3:35,3:35,0,--,2:23,42,70,--,--
2020-07-19 21:26:00,2020-07-20 03:15:00,6:08,5:56,12,--,3:31,30,60,--,--
2020-07-20 21:45:00,2020-07-21 04:52:00,7:07,6:32,35,--,4:06,1:18,58,--,--
2020-07-21 21:30:00,2020-07-22 06:59:00,9:29,8:59,30,--,6:19,1:14,67,--,--
2020-07-22 20:24:00,2020-07-23 05:21:00,8:57,8:37,20,--,5:41,1:02,60,--,--
2020-07-23 23:17:00,2020-07-24 07:17:00,8:00,7:31,29,--,5:34,46,70,--,--
2020-07-24 23:30:00,2020-07-25 04:15:00,4:45,4:45,0,--,3:27,30,68,--,--
2020-07-25 22:15:00,2020-07-26 00:15:00,4:45,4:45,0,--,3:34,2:00,69,--,--
