Start,Finish,Weight (lb)
26-Sep-2015 00:00,27-Sep-2015 00:00,164.0
27-Sep-2015 00:00,28-Sep-2015 00:00,0.0
28-Sep-2015 00:00,29-Sep-2015 00:00,164.0
29-Sep-2015 00:00,30-Sep-2015 00:00,161.0
30-Sep-2015 00:00,01-Oct-2015 00:00,154.0
01-Oct-2015 00:00,02-Oct-2015 00:00,0.0
02-Oct-2015 00:00,03-Oct-2015 00:00,0.0
03-Oct-2015 00:00,04-Oct-2015 00:00,0.0
04-Oct-2015 00:00,05-Oct-2015 00:00,0.0
05-Oct-2015 00:00,06-Oct-2015 00:00,169.0
06-Oct-2015 00:00,07-Oct-2015 00:00,0.0
07-Oct-2015 00:00,08-Oct-2015 00:00,0.0
08-Oct-2015 00:00,09-Oct-2015 00:00,0.0
09-Oct-2015 00:00,10-Oct-2015 00:00,0.0
10-Oct-2015 00:00,11-Oct-2015 00:00,0.0
11-Oct-2015 00:00,12-Oct-2015 00:00,0.0
12-Oct-2015 00:00,13-Oct-2015 00:00,0.0
13-Oct-2015 00:00,14-Oct-2015 00:00,169.0
14-Oct-2015 00:00,15-Oct-2015 00:00,168.0
15-Oct-2015 00:00,16-Oct-2015 00:00,165.0
16-Oct-2015 00:00,17-Oct-2015 00:00,166.0
17-Oct-2015 00:00,18-Oct-2015 00:00,0.0
18-Oct-2015 00:00,19-Oct-2015 00:00,166.0
19-Oct-2015 00:00,20-Oct-2015 00:00,164.0
20-Oct-2015 00:00,21-Oct-2015 00:00,164.0
21-Oct-2015 00:00,22-Oct-2015 00:00,166.0
22-Oct-2015 00:00,23-Oct-2015 00:00,166.0
23-Oct-2015 00:00,24-Oct-2015 00:00,163.0
24-Oct-2015 00:00,25-Oct-2015 00:00,164.0
25-Oct-2015 00:00,26-Oct-2015 00:00,0.0
26-Oct-2015 00:00,27-Oct-2015 00:00,162.0
27-Oct-2015 00:00,28-Oct-2015 00:00,161.0
28-Oct-2015 00:00,29-Oct-2015 00:00,160.0
29-Oct-2015 00:00,30-Oct-2015 00:00,161.0
30-Oct-2015 00:00,31-Oct-2015 00:00,158.0
31-Oct-2015 00:00,01-Nov-2015 00:00,162.0
01-Nov-2015 00:00,02-Nov-2015 00:00,165.0
02-Nov-2015 00:00,03-Nov-2015 00:00,167.0
03-Nov-2015 00:00,04-Nov-2015 00:00,168.0
04-Nov-2015 00:00,05-Nov-2015 00:00,0.0
05-Nov-2015 00:00,06-Nov-2015 00:00,168.0
06-Nov-2015 00:00,07-Nov-2015 00:00,168.0
07-Nov-2015 00:00,08-Nov-2015 00:00,0.0
08-Nov-2015 00:00,09-Nov-2015 00:00,0.0
09-Nov-2015 00:00,10-Nov-2015 00:00,0.0
10-Nov-2015 00:00,11-Nov-2015 00:00,169.0
11-Nov-2015 00:00,12-Nov-2015 00:00,0.0
12-Nov-2015 00:00,13-Nov-2015 00:00,169.0
13-Nov-2015 00:00,14-Nov-2015 00:00,0.0
14-Nov-2015 00:00,15-Nov-2015 00:00,0.0
15-Nov-2015 00:00,16-Nov-2015 00:00,0.0
16-Nov-2015 00:00,17-Nov-2015 00:00,0.0
17-Nov-2015 00:00,18-Nov-2015 00:00,169.0
18-Nov-2015 00:00,19-Nov-2015 00:00,0.0
19-Nov-2015 00:00,20-Nov-2015 00:00,0.0
20-Nov-2015 00:00,21-Nov-2015 00:00,0.0
21-Nov-2015 00:00,22-Nov-2015 00:00,0.0
22-Nov-2015 00:00,23-Nov-2015 00:00,0.0
23-Nov-2015 00:00,24-Nov-2015 00:00,0.0
